UqID,ID,Region,Location,Contract Type,Property Type,Years,Bedrooms,Bathrooms,Land Size (SQM),Build Size (SQM),FSR,Price IDR,Price ($),Price/SQM ($),Price/Year ($),Availability,Sold Date,Scrape Date,Days listed,Off plan
72,29717,North Badung,Canggu,Leasehold,Villa,25,4,4,250,280,112%,10850000000,657576,2348,26303,Available,,Dec/25,,Available
73,PPV4659,South Badung,Bingin,Leasehold,Villa,26,2,2,100,110,110%,4400000000,266667,2424,10256,Available,,Dec/25,,Available
74,VL3445,North Badung,Canggu,Leasehold,Villa,25,4,5,250,280,112%,11275950326,683391,2441,27336,Available,,Dec/25,,Available
75,PPV4706,Tabanan,Kedungu,Leasehold,Villa,28,2,2,210,102,49%,4290000000,260000,2549,9286,Available,,Dec/25,,Available
76,KE789L,North Badung,Kerobokan,Leasehold,Villa,,1,,80,51,64%,2200000000,133333,2614,,Available,,Dec/25,,Available
77,BP545L,South Badung,Uluwatu,Leasehold,Villa,30,2,,278,180,65%,7800000000,472727,2626,15758,Available,,Dec/25,,Off Plan
78,CVG1771B,South Badung,Uluwatu,Leasehold,Villa,30,1,1,110,50,45%,2171041182,131578,2632,4386,Available,,Dec/25,,Available
79,PPV4647,North Badung,Canggu,Leasehold,Villa,16,4,4,500,250,50%,11000000000,666667,2667,41667,Available,,Dec/25,,Available
80,VL3470,Tabanan,Nyanyi,Leasehold,Villa,26,2,2,225,100,44%,4450000000,269697,2697,10373,Available,,Dec/25,,Available
81,VL3469,Tabanan,Nyanyi,Leasehold,Villa,26,2,2,254,100,39%,4450000000,269697,2697,10373,Available,,Dec/25,,Available
82,VL3471,Tabanan,Nyanyi,Leasehold,Villa,26,4,4,500,200,40%,8900000000,539394,2697,20746,Available,,Dec/25,,Available
83,VL3446,North Badung,Umalas,Leasehold,Villa,27,2,3,161,137,85%,6200000000,375758,2743,13917,Available,,Dec/25,,Available
84,PPV4671,North Badung,Canggu,Leasehold,Villa,17,1,1,80,65,81%,2980000000,180606,2779,10624,Available,,Dec/25,,Available
85,PPV4717,North Badung,Berawa,Leasehold,Villa,24,4,4,225,220,98%,10100000000,612121,2782,25505,Available,,Dec/25,,Available
86,PPV4705,Tabanan,Kedungu,Leasehold,Villa,28,1,1,130,75,58%,3600000000,218182,2909,7792,Available,,Dec/25,,Available
87,PPV4701,South Badung,Balangan,Leasehold,Villa,23,4,4,330,190,58%,9130000000,553333,2912,24058,Available,,Dec/25,,Available
88,KE787L,North Badung,Kerobokan,Leasehold,Villa,25,3,,160,80,50%,3900000000,236364,2955,9455,Available,,Dec/25,,Available
89,KE786L,North Badung,Kerobokan,Leasehold,Villa,25,3,,160,80,50%,3900000000,236364,2955,9455,Available,,Dec/25,,Available
90,KE785L,North Badung,Kerobokan,Leasehold,Villa,25,3,,160,80,50%,3900000000,236364,2955,9455,Available,,Dec/25,,Available
91,PPV4700,South Badung,Balangan,Leasehold,Villa,23,4,4,330,190,58%,9310000000,564242,2970,24532,Available,,Dec/25,,Available
92,SE786L,Central Badung,Seminyak,Leasehold,Villa,22,5,,400,250,63%,12290000000,744848,2979,33857,Available,,Dec/25,,Available
93,KE788L,North Badung,Kerobokan,Leasehold,Villa,25,3,,160,80,50%,4100000000,248485,3106,9939,Available,,Dec/25,,Available
94,PPV4660,North Badung,Bumbak,Leasehold,Villa,26,4,4,540,358,66%,18365000000,1113030,3109,42809,Available,,Dec/25,,Available
95,BP544L,South Badung,Uluwatu,Leasehold,Villa,30,1,,131,85,65%,4400000000,266667,3137,8889,Available,,Dec/25,,Off Plan
96,CA981L,Mengwi,Pererenan,Leasehold,Villa,30,1,,75,50,67%,2600000000,157576,3152,5253,Available,,Dec/25,,Off Plan
97,PPV4679,Mengwi,Pererenan,Leasehold,Villa,23,2,2,140,112,80%,5850000000,354545,3166,15415,Available,,Dec/25,,Available
98,PPV4682,South Badung,Uluwatu,Leasehold,Villa,25,1,1,90,69.4,77%,3660000000,221818,3196,8873,Available,,Dec/25,,Available
99,VL3450,Gianyar,Ubud,Leasehold,Villa,28,2,3,280,121,43%,6715080866,406975,3363,14535,Available,,Dec/25,,Available
100,PPV4680,Mengwi,Pererenan,Leasehold,Villa,23,3,3,180,139,77%,7980000000,483636,3479,21028,Available,,Dec/25,,Available
101,UA553L,South Badung,Jimbaran,Leasehold,Villa,29,1,,124,63,51%,4200000000,254545,4040,8777,Available,,Dec/25,,Off Plan
