DATE,REGION,LOCATION,TYPE,MGMT,BEDS,COUNT,OCCUPANCY,RATE IDR,RATE USD,MONTHLY IDR,MONTHLY USD,TOTAL REVENUE
Oct/24,Denpasar,Denpasar,Villa,Professional,2,24,56.9%,"Rp3,018,974",$192,"Rp49,401,365","$3,149","$69,269"
Oct/23,Central Badung,Kuta,Villa,Individual ,2,57,39.4%,"Rp2,143,170",$135,"Rp24,479,752","$1,542","$69,370"
Jul/23,Central Badung,Legian,Villa,Professional,2,36,54.2%,"Rp2,210,928",$147,"Rp29,049,109","$1,927","$69,371"
Sep/24,South Badung,Bukit,Apartment,Individual ,3,26,46.3%,"Rp3,535,830",$234,"Rp47,733,686","$3,154","$69,385"
Oct/24,North Badung,Padonan,Guest House,Individual ,3,26,48.4%,"Rp3,888,273",$248,"Rp49,487,085","$3,154","$69,389"
Nov/23,Non Bali,Lombok,Guest House,Individual ,1,,49.0%,"Rp904,549",$58,"Rp10,764,133",$694,"$69,424"
Aug/25,South Badung,Bukit,Apartment,Professional,1,33,75.5%,"Rp1,998,370",$121,"Rp35,783,353","$2,170","$69,440"
Jan/22,Denpasar,Denpasar,Villa,Professional,6,8,30.0%,"Rp11,333,600",$788,"Rp147,336,800","$10,246","$69,468"
Oct/21,North Badung,Padonan,Villa,Professional,1,76,51.0%,"Rp1,593,152",$112,"Rp20,948,295","$1,479","$69,507"
Nov/21,South Badung,Bukit,Guest House,Individual ,1,,31.2%,"Rp555,775",$39,"Rp4,046,258",$283,"$69,511"
May/22,Denpasar,Sanur,Villa,Professional,4,14,52.3%,"Rp5,145,482",$353,"Rp77,973,799","$5,348","$69,524"
Sep/24,North Badung,Padonan,Guest House,Individual ,2,78,39.0%,"Rp1,532,580",$101,"Rp17,845,520","$1,179","$69,566"
Feb/25,Central Badung,Legian,Villa,Professional,3,24,57.7%,"Rp3,316,358",$200,"Rp52,458,795","$3,164","$69,608"
Jan/25,Denpasar,Sanur,Apartment,Individual ,1,74,60.7%,"Rp765,448",$47,"Rp13,331,632",$818,"$69,608"
Jun/24,Gianyar,Ubud,Villa,Professional,6,8,62.9%,"Rp7,650,068",$467,"Rp142,482,598","$8,704","$69,631"
Aug/25,Mengwi,Mengwi,Guest House,Individual ,1,213,45.3%,"Rp509,284",$31,"Rp6,044,367",$367,"$69,644"
Oct/25,Central Badung,Legian,Villa,Professional,5,11,81.3%,"Rp5,571,313",$335,"Rp115,883,307","$6,968","$69,683"
May/24,Central Badung,Kuta,Villa,Individual ,4,23,63.0%,"Rp3,986,417",$245,"Rp59,586,412","$3,668","$69,692"
May/24,Central Badung,Legian,Villa,Professional,3,28,45.8%,"Rp3,506,563",$216,"Rp47,192,551","$2,905","$69,721"
Aug/24,South Badung,Jimbaran,Villa,Professional,2,16,63.3%,"Rp4,258,087",$276,"Rp82,868,976","$5,364","$69,728"
May/22,North Badung,Canggu,Guest House,Individual ,2,,59.0%,"Rp1,222,135",$84,"Rp15,887,692","$1,090","$69,740"
Dec/22,Mengwi,Mengwi,Villa,Professional,4,8,67.7%,"Rp8,102,561",$521,"Rp135,717,890","$8,719","$69,755"
Apr/22,Denpasar,Sanur,Villa,Professional,6,9,41.4%,"Rp11,361,194",$784,"Rp112,349,565","$7,751","$69,758"
Jul/22,Denpasar,Denpasar,Villa,Professional,4,18,58.3%,"Rp4,482,870",$302,"Rp60,914,274","$4,108","$69,828"
Oct/23,Gianyar,Ubud,Apartment,Individual ,1,102,61.1%,"Rp828,411",$52,"Rp11,554,607",$728,"$69,852"
Aug/24,Other,Nusa Penida,Villa,Individual ,5,9,82.7%,"Rp5,507,835",$356,"Rp119,948,460","$7,764","$69,873"
Oct/25,Tabanan,Tabanan,Villa,Professional,3,25,58.1%,"Rp2,829,107",$170,"Rp46,510,520","$2,797","$69,920"
Nov/23,Other,Nusa Lembongan,Villa,Professional,4,,52.4%,"Rp10,855,715",$700,"Rp135,696,442","$8,752","$70,014"
Aug/22,Non Bali,Lombok,Villa,Individual ,4,,35.1%,"Rp8,880,520",$598,"Rp79,924,636","$5,386","$70,015"
Oct/22,South Badung,Bukit,Guest House,Individual ,2,,53.8%,"Rp1,688,335",$108,"Rp21,006,761","$1,347","$70,045"
Jan/24,Denpasar,Denpasar,Villa,Professional,4,13,64.2%,"Rp6,043,924",$383,"Rp85,079,788","$5,393","$70,113"
Dec/25,Gianyar,Ubud,Guest House,Individual ,2,93,46.2%,"Rp1,164,287",$70,"Rp14,111,659",$846,"$70,241"
Apr/24,Central Badung,Seminyak,Guest House,Individual ,2,45,49.1%,"Rp2,868,940",$176,"Rp40,779,932","$2,509","$70,245"
May/22,Mengwi,Mengwi,Villa,Individual ,2,45,58.2%,"Rp1,786,350",$123,"Rp22,785,905","$1,563","$70,327"
Oct/24,Mengwi,Mengwi,Villa,Professional,1,33,76.8%,"Rp1,672,170",$107,"Rp34,488,439","$2,198","$70,340"
Aug/25,Other,Nusa Lembongan,Guest House,Individual ,3,54,38.0%,"Rp2,189,667",$133,"Rp25,228,719","$1,530","$70,377"
Jul/22,North Badung,Canggu,Guest House,Individual ,2,,55.6%,"Rp1,297,212",$87,"Rp18,647,361","$1,257","$70,415"
Aug/25,Other,Nusa Penida,Guest House,Individual ,2,111,23.3%,"Rp1,767,483",$107,"Rp12,760,835",$774,"$70,421"
Aug/23,Central Badung,Legian,Villa,Professional,3,26,56.6%,"Rp3,064,644",$201,"Rp42,905,018","$2,818","$70,452"
May/22,Other,Nusa Lembongan,Villa,Individual ,2,,51.6%,"Rp2,329,630",$160,"Rp30,216,615","$2,072","$70,464"
Feb/25,Gianyar,Ubud,Apartment,Individual ,1,137,58.9%,"Rp747,948",$45,"Rp9,427,837",$569,"$70,509"
Mar/22,South Badung,Bukit,Villa,Professional,5,20,35.4%,"Rp8,589,393",$598,"Rp53,344,650","$3,713","$70,542"
Jul/23,South Badung,Bukit,Guest House,Individual ,3,,67.7%,"Rp2,161,713",$143,"Rp39,391,277","$2,613","$70,551"
Dec/21,North Badung,Kerobokan,Guest House,Individual ,1,,66.6%,"Rp394,892",$28,"Rp5,107,519",$358,"$70,609"
Feb/24,Other,Nusa Lembongan,Villa,Individual ,6,9,56.3%,"Rp10,050,524",$640,"Rp184,259,608","$11,729","$70,616"
Oct/23,South Badung,Bukit,Apartment,Individual ,3,23,59.1%,"Rp3,204,216",$202,"Rp53,403,595","$3,363","$70,622"
Apr/25,Central Badung,Legian,Villa,Individual ,6,31,53.0%,"Rp6,259,344",$377,"Rp77,407,169","$4,663","$70,662"
May/25,Denpasar,Denpasar,Guest House,Individual ,1,172,47.4%,"Rp553,208",$34,"Rp7,040,864",$432,"$70,674"
Feb/25,Mengwi,Mengwi,Villa,Professional,2,40,67.4%,"Rp1,931,106",$116,"Rp31,680,632","$1,911","$70,699"
Nov/23,Gianyar,Ubud,Villa,Professional,3,25,54.7%,"Rp3,887,352",$251,"Rp45,676,412","$2,946","$70,702"
Jul/23,South Badung,Bukit,Guest House,Individual ,2,,57.5%,"Rp1,640,197",$109,"Rp26,003,200","$1,725","$70,722"
Jan/24,Central Badung,Seminyak,Guest House,Individual ,2,53,33.6%,"Rp2,309,910",$146,"Rp24,253,999","$1,537","$70,725"
Apr/22,Gianyar,Ubud,Villa,Professional,4,29,41.3%,"Rp5,178,415",$357,"Rp35,356,141","$2,439","$70,737"
Jul/23,Gianyar,Ubud,Guest House,Individual ,3,,53.9%,"Rp2,319,692",$154,"Rp30,487,446","$2,022","$70,783"
Jul/23,Central Badung,Kuta,Villa,Individual ,2,49,43.4%,"Rp2,143,561",$142,"Rp23,722,143","$1,574","$70,812"
Jun/25,South Badung,Bukit,Apartment,Individual ,3,26,57.0%,"Rp3,371,709",$208,"Rp54,750,164","$3,372","$70,819"
Nov/21,North Badung,Padonan,Villa,Professional,1,92,50.6%,"Rp1,262,540",$88,"Rp14,296,948",$998,"$70,886"
Jan/24,North Badung,Kerobokan,Apartment,Individual ,1,77,55.2%,"Rp1,309,449",$83,"Rp1,309,449",$83,"$70,889"
Jun/23,South Badung,Bukit,Guest House,Individual ,3,,72.9%,"Rp2,228,289",$149,"Rp42,515,747","$2,836","$70,907"
May/25,Denpasar,Sanur,Guest House,Individual ,1,172,47.4%,"Rp553,208",$34,"Rp7,040,864",$432,"$70,912"
May/22,Non Bali,Lombok,Villa,Individual ,4,,33.7%,"Rp10,555,208",$724,"Rp94,037,285","$6,450","$70,947"
Aug/24,North Badung,Canggu,Guest House,Individual ,2,52,55.8%,"Rp1,626,491",$105,"Rp24,361,241","$1,577","$70,955"
Jan/24,Other,Amed,Villa,Individual ,2,48,56.1%,"Rp1,634,283",$104,"Rp23,322,614","$1,478","$70,966"
Jun/24,South Badung,Jimbaran,Villa,Professional,5,11,62.7%,"Rp7,849,691",$480,"Rp116,175,420","$7,097","$70,968"
Jul/25,Mengwi,Mengwi,Guest House,Individual ,1,212,45.8%,"Rp521,461",$32,"Rp6,428,421",$394,"$70,994"
Jun/24,North Badung,Padonan,Guest House,Individual ,2,79,46.8%,"Rp1,456,762",$89,"Rp18,452,350","$1,127","$71,014"
Nov/25,North Badung,Kerobokan,Villa,Professional,6,73,32.7%,"Rp14,382,726",$864,"Rp111,166,553","$6,675","$71,022"
Dec/23,Central Badung,Legian,Guest House,Individual ,1,,56.4%,"Rp621,339",$40,"Rp5,698,777",$370,"$71,074"
May/24,North Badung,Padonan,Guest House,Individual ,2,79,45.6%,"Rp1,473,818",$91,"Rp17,529,499","$1,079","$71,219"
Dec/23,Mengwi,Mengwi,Villa,Professional,4,10,64.0%,"Rp9,067,052",$589,"Rp109,711,325","$7,126","$71,264"
Jun/24,South Badung,Jimbaran,Villa,Professional,6,3,55.3%,"Rp15,822,330",$967,"Rp166,134,461","$10,149","$71,294"
Jan/23,Denpasar,Denpasar,Apartment,Individual ,1,110,69.2%,"Rp650,997",$43,"Rp10,378,007",$693,"$71,334"
Sep/23,Other,Nusa Penida,Villa,Individual ,2,,63.6%,"Rp2,558,267",$166,"Rp44,104,519","$2,855","$71,367"
Feb/24,North Badung,Canggu,Apartment,Individual ,2,41,73.1%,"Rp1,681,814",$107,"Rp28,763,282","$1,831","$71,405"
Dec/21,Central Badung,Legian,Villa,Professional,6,8,65.4%,"Rp5,469,788",$384,"Rp84,781,721","$5,950","$71,501"
Aug/23,Other,Amed,Guest House,Individual ,1,,59.2%,"Rp469,899",$31,"Rp7,776,822",$511,"$71,511"
May/23,Gianyar,Ubud,Apartment,Individual ,1,93,75.8%,"Rp751,515",$50,"Rp12,317,864",$822,"$71,516"
May/24,Central Badung,Legian,Villa,Professional,4,12,64.8%,"Rp6,641,149",$409,"Rp129,133,480","$7,949","$71,542"
Dec/22,Denpasar,Sanur,Villa,Professional,4,14,68.6%,"Rp5,863,527",$377,"Rp85,697,761","$5,506","$71,575"
Jul/22,Denpasar,Denpasar,Apartment,Individual ,1,133,56.0%,"Rp648,166",$44,"Rp8,426,149",$568,"$71,591"
Aug/24,Central Badung,Kuta,Guest House,Individual ,1,210,56.5%,"Rp404,133",$26,"Rp5,791,215",$375,"$71,593"
Nov/24,Central Badung,Kuta,Villa,Individual ,1,100,39.1%,"Rp1,211,736",$76,"Rp14,540,903",$918,"$71,603"
Mar/25,Denpasar,Sanur,Villa,Professional,3,23,61.3%,"Rp4,089,045",$247,"Rp56,467,829","$3,410","$71,608"
Jan/24,North Badung,Kerobokan,Villa,Professional,1,54,30.1%,"Rp3,669,499",$233,"Rp32,291,617","$2,047","$71,645"
Dec/22,Other,Amed,Villa,Individual ,3,,74.2%,"Rp2,625,057",$169,"Rp53,126,093","$3,413","$71,677"
Oct/23,Denpasar,Sanur,Villa,Professional,3,15,65.7%,"Rp5,222,871",$329,"Rp75,905,720","$4,780","$71,699"
Jan/23,Central Badung,Kuta,Guest House,Individual ,1,232,31.0%,"Rp565,043",$38,"Rp5,568,462",$372,"$71,719"
Dec/21,North Badung,Canggu,Villa,Professional,1,51,46.8%,"Rp2,157,790",$151,"Rp25,569,806","$1,794","$71,775"
